Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,PMNT,period (m),payment,interest (y),interest (p),# of periodds,PV,Expense,overhead,,rent BGN,rent EUR,diff BGN,% retrurn
,UniCredit 200k,1,-1068.6108516538063,"3,00%",0.0025,400,270000,427444.3406615225,157444.34066152252,,600,275.51020408163265,-1554.4772692414604,0.012244897959183673
